time,symbol,price,volume
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.03,0.0024
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.52,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.03,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.51,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.01,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.51,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.01,0.0025
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.51,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.51,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.01,0.0024
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.51,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.51,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.5,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.01,0.0144
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.5,0.008
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.5,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.01,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.5,0.009
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.01,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.49,0.016
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.49,0.916
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.01,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.49,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181.01,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.49,0.009
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.49,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181,0.0023
2026-03-25 16:45:19,BINANCE:BNBUSDT,649.49,0.008
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181,0.003
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.00032
2026-03-25 16:45:19,BINANCE:ETHUSDT,2181,0.0025
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.00015
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.99,0.0024
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.00015
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.99,0.0025
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,8e-05
